modelo,accuracy,precision,recall,f1_score,auc
KNN,0.85,0.8461538461538461,0.9166666666666666,0.88,0.8541666666666666
CART,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8125
